"","DAY","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
"V87","25-Sep",87,66,82,81,82,66,69,82,81,85,75,87,82,87,93,88,82,67,77,67,68,67
"V88","26-Sep",84,70,84,82,68,72,75,82,79,77,78,84,80,85,76,86,86,78,74,71,70,70
"V89","27-Sep",79,64,87,78,71,75,75,82,72,86,79,85,77,80,81,84,88,79,78,71,71,70
"V90","28-Sep",75,68,80,80,75,78,79,73,78,85,81,85,86,83,76,79,86,77,74,75,70,69
"V91","29-Sep",72,77,75,77,73,71,73,66,78,85,70,81,86,72,79,84,84,76,71,77,69,68
"V92","30-Sep",64,86,75,71,75,71,79,71,80,82,75,79,86,74,76,78,72,77,84,85,70,69
"V93","1-Oct",66,75,86,73,77,75,82,72,82,83,83,80,74,76,79,65,75,82,86,71,65,65
"V94","2-Oct",72,73,78,75,79,80,84,68,82,85,81,82,74,75,78,68,72,82,85,66,64,64
"V95","3-Oct",84,75,77,84,82,81,84,66,80,83,82,77,80,76,68,75,74,82,78,66,64,64
"V96","4-Oct",70,78,82,71,81,80,82,77,81,85,84,80,83,74,67,80,82,85,65,70,65,65
"V97","5-Oct",66,81,82,73,82,79,87,78,80,81,86,81,83,62,70,83,82,84,71,73,67,67
"V98","6-Oct",64,82,73,71,73,70,86,75,75,72,76,82,82,71,73,81,83,84,78,76,68,67
"V99","7-Oct",60,82,82,73,66,68,80,73,75,72,72,83,82,79,81,79,68,74,82,81,65,64
"V100","8-Oct",78,82,69,73,55,79,71,73,73,73,72,83,72,80,82,78,63,72,86,82,62,62
"V101","9-Oct",70,80,72,72,55,66,66,73,71,70,79,81,75,85,85,72,70,76,86,81,61,61
"V102","10-Oct",72,82,73,72,64,73,70,73,71,77,80,81,77,74,86,68,73,80,86,71,59,58
"V103","11-Oct",69,82,78,73,71,75,78,66,77,82,80,67,78,77,86,65,75,79,86,73,59,59
"V104","12-Oct",69,79,78,70,73,78,84,78,73,74,71,72,77,66,80,73,79,81,85,76,60,60
"V105","13-Oct",73,80,78,64,75,78,79,78,64,77,62,74,77,73,80,74,75,82,85,81,61,60
"V106","14-Oct",79,68,75,75,75,75,68,78,63,78,69,78,80,66,73,77,77,77,75,78,58,58
